Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/05/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"I am reopening this issue under a new complaint because my previous CFPB case ( # XXXX ) was closed without a fair or lawful resolution. TD Bank denied my fraud dispute three separate times, claiming that the transactions appeared authorized because there were successful online logins and no aggressive spending. These reasons are irrelevant and do not meet the legal standards for determining authorization under federal law. 
I did not authorize or benefit from any of the disputed transactions totaling {$1700.00}. I only discovered the card had been stolen after receiving an unexpected paper statementsomething I normally do not receive by mail. I immediately reported the loss and the unauthorized transactions to TD Bank, yet my claim was denied without a proper investigation.

TD Banks response failed to follow the requirements of Regulation Z ( 12 CFR 1026.13 ) and the Fair Credit Billing Act, which protect consumers from liability for unauthorized credit-card use. The bank never provided proof that I authorized these charges, and its reasoning relied entirely on speculative assumptions. Online logins can not be used as evidence of cardholder consent, and the pattern of spending is irrelevant to determining fraud. 
I provided timely notice, cooperated fully, and even filed an official CFPB complaint, yet TD Bank sustained its denial without addressing the facts. The prior case was marked closed even though the matter remains unresolved and the bank continues to hold me responsible for fraudulent charges. 
I respectfully request that the CFPB reopen this issue as a new case, review TD Banks inadequate investigation, and ensure compliance with federal consumer-protection laws. I seek a full refund of {$1700.00} in unauthorized charges and confirmation that I will not be held liable for any fraudulent balance.",None,TD BANK US HOLDING COMPANY,NJ,07024,None,Consent provided,Web,10/05/25,Closed with explanation,Yes,N/A,16377662
10/31/25,Vehicle loan or lease,Loan,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,,None,TD BANK US HOLDING COMPANY,ID,83642,None,None,Web,10/31/25,Closed with non-monetary relief,Yes,N/A,16956124
09/30/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"On XX/XX/XXXX, I put down a down payment of {$3000.00} for some jewlery. I made a XXXX payment of {$3000.00} a few days later on the XXXX. I had a remaining balance of XXXX to pay off before my balance was cleared. Some days after, the merchant calls me and informs me that the company that accepts his card payments terminated his account and locked his funds for XXXX  days and that he isn't able to log in and issue a refund or anything and that I should reach out to my bank and tell them the order was cancelled and XXXX cant get a refund. He said his company deemed my XXXX payment as high risk for fraud and that's why he thinks it was terminated. I called TD bank and informed them of everything that happened and started a claim on Thursday the XXXX. I spoke with TD on Tuesday the XXXX and my claim was closed because additional information requested wasn't submitted. I informed the rep that no one told me I had to submit anything. The rep informed me that someone from the fraud department reached out to me. I located the number that called me, and remember getting the call. I didn't pick up the call because the number didn't lead back to TD and when I called the number back it was a personal answering machine. So i put the number on my spam list. Again, I even googled the number. The rep informed me that was them asking for documents. When I initiated the claim, I informed the rep I have texts and emails from the merchant and can provide them, but was told no.",None,TD BANK US HOLDING COMPANY,CT,065XX,None,Consent provided,Web,09/30/25,Closed with monetary relief,Yes,N/A,16272383
11/17/25,Debt collection,Credit card debt,Communication tactics,Frequent or repeated calls,,None,TD BANK US HOLDING COMPANY,NY,10314,None,None,Web,11/17/25,In progress,Yes,N/A,17306456
11/19/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,,None,TD BANK US HOLDING COMPANY,SC,29410,None,None,Web,11/19/25,Closed with explanation,Yes,N/A,17361952
10/20/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,MA,01545,None,N/A,Phone,10/20/25,Closed with explanation,Yes,N/A,16707489
10/07/25,Checking or savings account,Checking account,Closing an account,Company closed your account,"Im not entirely sure, I woke up and my cards were declined and my account was closed. i went to the branch and was refused an explanation.",None,TD BANK US HOLDING COMPANY,NJ,07748,None,Consent provided,Web,10/07/25,Closed with explanation,Yes,N/A,16403172
11/11/25,"Money transfer, virtual currency, or money service",Check cashing service,Fraud or scam,None,,None,TD BANK US HOLDING COMPANY,NJ,08030,"Older American, Servicemember",None,Web,11/11/25,In progress,Yes,N/A,17172132
10/02/25,Checking or savings account,Savings account,Closing an account,Can't close your account,,None,TD BANK US HOLDING COMPANY,FL,33991,None,Other,Web,10/02/25,Closed with non-monetary relief,Yes,N/A,16312172
11/05/25,Checking or savings account,CD (Certificate of Deposit),Managing an account,Banking errors,,None,TD BANK US HOLDING COMPANY,SC,29229,Older American,N/A,Referral,11/06/25,Closed with explanation,Yes,N/A,17084848
