Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/05/25,Credit reporting or other personal consumer reports,Other personal consumer report,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,FL,33837,None,Consent not provided,Web,10/05/25,Closed with explanation,Yes,N/A,16372997
11/18/25,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",,None,TD BANK US HOLDING COMPANY,NC,279XX,None,None,Web,11/18/25,In progress,Yes,N/A,17334417
11/17/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CA,94124,None,None,Web,11/17/25,Closed with explanation,Yes,N/A,17311685
11/09/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,MD,21001,None,None,Web,11/09/25,In progress,Yes,N/A,17121843
10/29/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,FL,33131,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16859678
10/13/25,Checking or savings account,Checking account,Managing an account,Banking errors,,None,TD BANK US HOLDING COMPANY,SC,29316,None,None,Web,10/13/25,Closed with explanation,Yes,N/A,16544268
10/27/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,MI,48197,None,None,Web,10/27/25,Closed with explanation,Yes,N/A,16849177
10/07/25,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,None,TD BANK US HOLDING COMPANY,NY,11361,None,Consent not provided,Web,10/07/25,Closed with explanation,Yes,N/A,16423477
10/07/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,TX,782XX,Servicemember,None,Web,10/07/25,Closed with explanation,Yes,N/A,16418671
10/17/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,NJ,07419,None,None,Web,10/17/25,In progress,Yes,N/A,16660756
10/09/25,Credit card,Store credit card,Fees or interest,Charged too much interest,,None,TD BANK US HOLDING COMPANY,CA,91203,None,Other,Web,10/09/25,Closed with explanation,Yes,N/A,16476302
11/05/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,FL,32828,None,None,Web,11/05/25,Closed with monetary relief,Yes,N/A,17004921
10/11/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,FL,33990,Older American,None,Web,10/11/25,In progress,Yes,N/A,16524189
10/17/25,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,NY,14031,None,None,Web,10/17/25,Closed with explanation,Yes,N/A,16643334
10/22/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,WI,53219,None,None,Web,10/22/25,Closed with monetary relief,Yes,N/A,16749987
10/07/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,NJ,07069,None,Consent not provided,Web,10/07/25,Closed with explanation,Yes,N/A,16421916
11/04/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,95776,None,None,Web,11/04/25,Closed with explanation,Yes,N/A,17001471
11/01/25,Checking or savings account,Other banking product or service,Problem caused by your funds being low,Overdrafts and overdraft fees,,None,TD BANK US HOLDING COMPANY,MA,019XX,None,None,Web,11/01/25,Closed with explanation,Yes,N/A,16966836
11/07/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,FL,33063,None,None,Web,11/07/25,Closed with explanation,Yes,N/A,17099867
10/17/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,GA,30252,None,N/A,Referral,10/20/25,In progress,Yes,N/A,16711546
11/01/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,FL,33162,None,None,Web,11/01/25,Closed with explanation,Yes,N/A,16941265
09/30/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,MD,20874,Older American,N/A,Postal mail,10/16/25,Closed with explanation,Yes,N/A,16282222
11/18/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,NY,13204,None,None,Web,11/18/25,In progress,Yes,N/A,17335694
10/09/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,GA,30024,None,None,Web,11/19/25,In progress,Yes,N/A,16484291
10/22/25,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,AL,35007,Older American,None,Web,10/22/25,In progress,Yes,N/A,16752815
10/31/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,TX,78245,None,None,Web,11/19/25,In progress,Yes,N/A,16939895
10/20/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,MA,01109,None,None,Web,10/20/25,In progress,Yes,N/A,16705244
11/12/25,Credit card,Store credit card,Struggling to pay your bill,Problem lowering your monthly payments,,None,TD BANK US HOLDING COMPANY,TX,766XX,None,None,Web,11/12/25,In progress,Yes,N/A,17197983
11/12/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,TX,75148,None,None,Web,11/12/25,Closed with explanation,Yes,N/A,17190841
10/02/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,FL,33311,None,Consent not provided,Web,10/02/25,Closed with explanation,Yes,N/A,16334182
10/11/25,Credit card,General-purpose credit card or charge card,Trouble using your card,Credit card company won't increase or decrease your credit limit,,None,TD BANK US HOLDING COMPANY,AR,72764,None,Other,Web,10/11/25,Closed with explanation,Yes,N/A,16516219
11/11/25,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,NY,11510,None,None,Web,11/11/25,Closed with explanation,Yes,N/A,17178160
10/01/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,FL,33615,None,None,Web,11/12/25,Closed with explanation,Yes,N/A,16302525
10/16/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,NY,10023,None,None,Web,10/16/25,Closed with non-monetary relief,Yes,N/A,16624537
11/16/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,FL,33312,None,None,Web,11/16/25,Closed with explanation,Yes,N/A,17269247
10/21/25,Checking or savings account,Checking account,Opening an account,Didn't receive terms that were advertised,,None,TD BANK US HOLDING COMPANY,FL,32301,None,N/A,Referral,10/21/25,Closed with monetary relief,Yes,N/A,16725026
10/04/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,DC,200XX,None,None,Web,10/04/25,Closed with explanation,Yes,N/A,16364623
11/18/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,AZ,85085,None,None,Web,11/18/25,Closed with explanation,Yes,N/A,17334322
10/03/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"The total amount was in the range of $ XXXX {$1400.00}. I have been banking with TD for years and my account was still active while I was in prison. Upon release, I realized multiple unauthorized transactions that I could not have made. I made the bank supervisor aware and he assisted me in filing the dispute. I submitted all documents to prove that I was imprisoned from XXXX. I also had the debit card in my possession that I last used on XX/XX/XXXX. I never ordered another card and I never authorized anyone else to do so or change the pin. I filed this dispute with TD bank in XX/XX/XXXX, at the XXXX, NJ XXXX ( XXXX XXXX ). The dispute is always denied immediately, with time being stated as the reason. I was locked up, how can i handle financial matters from behind a prison wall?",None,TD BANK US HOLDING COMPANY,NC,27406,None,Consent provided,Web,10/03/25,Closed with explanation,Yes,N/A,16345447
11/17/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,NY,11411,None,None,Web,11/17/25,In progress,Yes,N/A,17311554
10/19/25,Checking or savings account,Savings account,Closing an account,Company closed your account,,None,TD BANK US HOLDING COMPANY,VA,22207,None,None,Web,10/19/25,Closed with explanation,Yes,N/A,16682317
10/09/25,Checking or savings account,Checking account,Closing an account,Company closed your account,,None,TD BANK US HOLDING COMPANY,NY,11233,Older American,None,Web,10/09/25,Closed with non-monetary relief,Yes,N/A,16434167
09/30/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"On XX/XX/XXXX I decided to open an account at TD BANK since it gave the option to open accounts online without having to go to an office, the process seemed friendly and secure since it had everything that was requested, everything went as planned, the day after opening the account I made a payment through XXXX from another account in the name of my company XXXX XXXX XXXX under my control of {$4.00} and it arrived without problems when I try to access the account it appears to me as if I had no account or did not exist, I contact the bank and they tell me that my account was blocked or rather restricted and that I must go to a bank office for an identity verification I explain to them that I am out of the country, and that I will not return so soon and I need to access the account and they tell me no, that I must go to an office. The part I'm claiming is that they have all my documentation to verify that I am the owner of the account and additionally to open it they do a verification with security questions that only I know and I passed it without any problem. I have repeatedly requested that they allow me to verify my identity again through a secure link if necessary, and they refuse to do so. I see it as something obsolete in these advanced times",None,TD BANK US HOLDING COMPANY,FL,32812,None,Consent provided,Web,09/30/25,Closed with explanation,Yes,N/A,16278929
10/10/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,NJ,08203,None,N/A,Referral,10/10/25,In progress,Yes,N/A,16510278
10/15/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,AZ,850XX,None,None,Web,10/15/25,In progress,Yes,N/A,16584118
10/27/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,TX,79936,None,None,Web,10/27/25,Closed with explanation,Yes,N/A,16831538
10/16/25,Credit card,Store credit card,"Other features, terms, or problems",Other problem,,None,TD BANK US HOLDING COMPANY,LA,71110,None,None,Web,10/16/25,Closed with explanation,Yes,N/A,16638474
10/02/25,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,,None,TD BANK US HOLDING COMPANY,NY,10075,None,Consent not provided,Web,10/02/25,Closed with explanation,Yes,N/A,16330509
11/24/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,90250,None,None,Web,11/24/25,Closed with explanation,Yes,N/A,17483286
10/28/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CA,93291,None,None,Web,10/28/25,Closed with explanation,Yes,N/A,16881400
10/09/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,The account listed as XXXX/TD does not belong to me. This account was opened fraudulently and without my knowledge or authorization as a direct result of identity theft. I am a victim of this crime and have already filed an official identity theft report with the Federal Trade Commission ( FTC ) and a report with my local police department. I am not liable for any charges associated with this fraudulent account and request its immediate removal from my records and credit file.,None,TD BANK US HOLDING COMPANY,CA,92336,None,Consent provided,Web,10/09/25,Closed with non-monetary relief,Yes,N/A,16461233
09/29/25,Credit card,General-purpose credit card or charge card,Struggling to pay your bill,Credit card company won't work with you while you're going through financial hardship,,None,TD BANK US HOLDING COMPANY,MD,20721,None,Consent not provided,Web,09/29/25,Closed with explanation,Yes,N/A,16252226
11/04/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,PA,19133,None,N/A,Referral,11/04/25,Closed with explanation,Yes,N/A,17028659
10/03/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,94560,None,Consent not provided,Web,10/03/25,Closed with explanation,Yes,N/A,16314956
10/03/25,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other service problem,None,"I understand that there's security required on specific transactions however on XX/XX/XXXX, I physically presented myself to a TD bank in order to verify myself with my passport ( which I had to drive 3.5 hours to do ) so I would be able to access my online banking profile and send the transfer I needed to. I had to place 11 calls to TD on XX/XX/XXXX with no resolution. They told me my phone number was not valid so I created a new account and purchased a new telephone line to be able to get the text verification to no avail. After speaking with supervisors until I fell asleep last night ( around XXXX XXXX  ) my account was somehow completely suspended at XXXX XXXX. I woke up to this email at XXXX XXXX  and called immediately. Their fraud dept was not open until XXXX XXXX. I called back at XXXX XXXX. They had to submit an additional form for verification. After they approved this unnecessary suspension since I had already presented in person with my passport to prove I'm me and trying to send money to the email, so then I had to wait again until XXXX XXXX  when the hold was lifted since everything checked out. Once that was done, I tried to resend the same amount to the same person and low and behold, another hold on the account. An additional 14 calls today, XX/XX/XXXX!!! Consistent misinformation or lying, poor service and honestly, what seems like discrimination. Oddly a few weeks ago when I was sending money to a very American name, there was absolutely no problem. 

Honestly, there were 2 people out of all 25 calls where the people were helpful, both of those were supervisors. 

Luckily the last person now was able to help push the transaction through after I was very adamant that I was not accepting them brushing me off yet again though she tried. 

I shouldn't have to fight so hard to use my own money how I wish. They cost me hundreds of dollars in my time ( I could not work my job while I was spending hours on the phone with TD ) gas, activating a phone line etc.

I've still escalated to have a manager review the 25 calls and call back which I'm waiting for but I am going to speak to a friend in the legal field to see my recourse options. 

There should be fines for discrimination and there should be regulations around financial institutions and the people that can work there. I keep thinking of what a nightmare this would be for my parent or anyone else who wasn't as forceful as I was. 

Terrible service. Terrible experience. Putting this public so it can warn everyone to stay away from TD. They are far from being convenient as they claim.",None,TD BANK US HOLDING COMPANY,VT,054XX,None,Consent provided,Web,10/03/25,Closed with non-monetary relief,Yes,N/A,16361322
10/08/25,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"On XX/XX/year>, I received a XXXX message from someone impersonating my father. His XXXX account had been compromised by a scammer, and the messages appeared completely legitimate. Since I regularly help my father with XXXX XXXX, I believed it was truly him and sent {$1400.00} via XXXX to the recipient at XXXX After realizing it was a scam, I contacted TD Bank to report the issue. In my initial panic and confusion, I mistakenly told the bank that the transaction was unauthorized, not fully understanding that the investigation was focused on whether I had physically authorized the transaction on my device rather than on the scammer who misled me. 

I later tried to clarify with TD Bank that I had sent the money myself, but only because I was tricked by someone impersonating my father a clear case of impersonation and social engineering. 

TD Bank denied my claim, stating that XXXX XXXX and a matching IP address were used to complete the transfer, and closed the investigation .. XXXX representative I spoke with was also hostile and dismissive, and I was not provided with clear guidance or support throughout the process. 

I am now requesting that this case be fairly reviewed in light of the full, accurate circumstances. This was not an attempt to mislead or defraud the bank it was a scam where I was manipulated into sending money under false pretenses. I have documentation of the XXXX messages showing the impersonation.",None,TD BANK US HOLDING COMPANY,NJ,08096,None,Consent provided,Web,10/08/25,Closed with explanation,Yes,N/A,16404771
10/03/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"To Whom It May Concern, I am filing a renewed complaint against TD Bank regarding its discriminatory, inconsistent, and arbitrary treatment of customer cash deposits. This issue is not new. I previously filed CFPB Complaint # XXXX in XXXX, concerning the TD Bank XXXX XXXX XXXX, NJ. TD Bank formally responded on XX/XX/XXXX, in a letter from XXXX XXXX, Vice President, Retail Market XXXX, XXXX XXXX XXXX XXXX. 

In that letter, TD Bank admitted : XXXX. That my complaint was received and reviewed. 
XXXX. That feedback was shared with the XXXX branch to ensure coaching and consistent customer experience.

3. That TD Bank may require identifying information from any individual conducting cash transactions implying such policy must be clear and applied uniformly, not selectively.

4. That TD Bank is committed to offering products and services in a fair and equitable manner and that inclusivity is a cornerstone of their beliefs.

Despite those assurances, the same misconduct continues, now at another branch. On XX/XX/XXXX, at the XXXX TD Bank XXXX, I attempted to deposit {$6000.00} in cash. The teller insisted on unnecessary identification and seemed confused about the banks own policy. When I questioned this, the assistant XXXX, XXXX XXXX XXXX, became rude, dismissive, and unprofessional. When I said I would escalate the issue to another location, she told me go ahead, I dont care, hes not my boss. 

This proves that TD Bank has not corrected the problem at all. Instead of a one-off issue at XXXX, it is now evident that multiple branches are inconsistently applying so-called internal policies. These thresholds for requesting ID have shifted arbitrarily first {$6500.00}, then {$5000.00}, then {$4000.00}, and now even under {$2000.00}. This is not consistent with federal law, which only requires banks to file Currency Transaction Reports for deposits over {$10000.00} or Suspicious Activity Reports where legitimate red flags exist.

This selective and inconsistent treatment raises serious concerns of discrimination, harassment, and profiling. I am a XXXX individual with a bad back, and a retired XXXX  XXXX. Forcing me to repeatedly wait XXXX minutes in a drive-thru, treating me as though I am engaged in criminal conduct, and refusing to provide a clear, written explanation of policy is unacceptable and unlawful. 

Federal and state law provide protection in this context : The Americans with XXXX XXXX ( XXXX ) requires equal and accessible service without unnecessary barriers. 
The Equal Credit Opportunity Act ( XXXX ) prohibits discrimination in banking services. 
The XXXX XXXX XXXX ( FHA ) prohibits discrimination in financial services related to housing. 
The New Jersey XXXX XXXX Discrimination ( NJLAD ) prohibits discriminatory practices in places of public accommodation, including banks. 

TD Banks failure to correct this conduct, even after a prior CFPB complaint and a written commitment in XXXX, shows a troubling pattern of disregard for both customers and regulatory obligations. 

I am demanding that TD Bank : XXXX. Provide its actual written, bank-wide policy on cash deposit identification requirements. 
XXXX. Ensure that the policy is applied consistently and uniformly at all branches. 
XXXX. Retrain or discipline staff who apply selective or arbitrary rules. 
XXXX. Address the unprofessional behavior of XXXX assistant XXXX XXXX XXXX. 

If this matter is not resolved, I will escalate this again to the CFPB, the Office of the Comptroller of the Currency ( XXXX ), the XXXXXXXX XXXX XXXX XXXX for XXXX violations, and the New Jersey Division on Civil Rights. 

Respectfully, XXXX XXXX",None,TD BANK US HOLDING COMPANY,NJ,XXXXX,None,Consent provided,Web,10/03/25,Closed with explanation,Yes,N/A,16338339
11/13/25,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CA,92013,None,None,Web,11/13/25,In progress,Yes,N/A,17237847
10/09/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,94306,None,None,Web,10/09/25,Closed with explanation,Yes,N/A,16474470
10/24/25,Checking or savings account,Checking account,Managing an account,Fee problem,,None,TD BANK US HOLDING COMPANY,FL,33434,None,N/A,Phone,10/24/25,In progress,Yes,N/A,16807341
11/14/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,MS,39120,None,None,Web,11/14/25,Closed with explanation,Yes,N/A,17241068
10/18/25,Credit card,Store credit card,Problem when making payments,Problem during payment process,,None,TD BANK US HOLDING COMPANY,CA,92585,None,None,Web,10/18/25,Closed with explanation,Yes,N/A,16643741
10/09/25,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I am writing to filed a formal consumer complaint against Nordstrom and TD bank ( issue my Nordstrom Card ending XXXX ) Regarding a charged of XXXX $ for merchandise I never received. 

On XXXX XXXX, Nordstrom shipped my order via XXXX The carrier marked the packages as delivered with Photo showing it left unattended at my front door step. 
However, I never received the merchandise, and it was subsequently lost or stolen. 
I did filed Police report on XX/XX/XXXX XXXX at XXXX my case report is XXXX at XXXX XXXX  XXXX. 

Despite providing Nordstrom and TD bank with this, including the delivery photo and my claim with XXXX, both entities have refused to remove or refund the charge. Nordstrom insists I claim my homeowners insurance, and TD Bank denied my dispute citing the delivery photo as proof of delivery. 

Please note that under the Fair Credit billing act, I am entitled to dispute charges for good I not received, and I request that any collection or adverse credit reporting on this balance be suspended until dispute is resolved. 

Noted, I have been emailed to disputesuppote @ nordstom ( many time ) to follow up and willing to get this issue resolved with my RIGHT and FAIRNESS. 

But, ( Nordstrom merchant, Nordstrom Credit card, XXXX  ) got all denial and refused to help with my request, All matter from them I only got a word There is nothing I can do with it. 

To Nordstrom Merchant And Nordstrom Credit card, XXXX XXXX I understand your position, However, I must respectfully disagree with your conclusion. The merchandise in question was never received and the delivery photo clearly shown its was left unattended- which dose not constitute valid proof of delivery under the Fair Credit Billing Act. 
As a paying customer, I fulfilled my obligation by purchasing and paying for the item. The responsibility for ensuring safe and verified delivery rests with merchant and its chosen carrier, Not the consumer.

I am continuing to pursue this matter through the appropriate regulatory channels and expect a fair resolution in accordance with federal consumer protection laws.

I am making payments on the undisputed balance only as allowed under federal law, while this dispute remains unresolved.

Thank you for understanding and looking forward to get this issue resolved in Fairness. 

Sincerely, XXXX XXXX",None,TD BANK US HOLDING COMPANY,CA,90240,None,Consent provided,Web,10/09/25,Closed with explanation,Yes,N/A,16483837
10/21/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,TX,77004,None,None,Web,10/21/25,Closed with explanation,Yes,N/A,16692920
10/31/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,TN,38016,None,None,Web,10/31/25,Closed with explanation,Yes,N/A,16950766
11/19/25,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,None,TD BANK US HOLDING COMPANY,MA,01854,Older American,N/A,Phone,11/19/25,Closed with explanation,Yes,N/A,17347686
11/13/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,NJ,07093,None,None,Web,11/13/25,Closed with explanation,Yes,N/A,17205888
10/16/25,Credit card,Store credit card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,TX,77079,None,None,Web,10/16/25,Closed with explanation,Yes,N/A,16615956
11/18/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CO,81504,None,None,Web,11/18/25,In progress,Yes,N/A,17324534
10/31/25,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,,None,TD BANK US HOLDING COMPANY,MA,02139,None,N/A,Referral,10/31/25,In progress,Yes,N/A,16956794
10/11/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,FL,33029,None,None,Web,10/11/25,Closed with explanation,Yes,N/A,16518125
11/18/25,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,None,TD BANK US HOLDING COMPANY,NJ,07030,None,None,Web,11/18/25,Closed with monetary relief,Yes,N/A,17314293
10/10/25,Mortgage,Conventional home mortgage,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,None,TD BANK US HOLDING COMPANY,NY,11235,Older American,None,Web,10/11/25,Closed with non-monetary relief,Yes,N/A,16503359
10/09/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,NJ,07305,None,None,Web,10/09/25,Closed with explanation,Yes,N/A,16485023
11/06/25,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,,None,TD BANK US HOLDING COMPANY,GA,30014,None,None,Web,11/06/25,Closed with explanation,Yes,N/A,17031152
11/18/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,NC,27260,None,None,Web,11/18/25,In progress,Yes,N/A,17321394
10/02/25,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"To Whom It May Concern, around XX/XX/year>, I was the victim of a XXXX  scam initiated through the housing website Furnished Finder. An individual identifying herself as XXXX posed as a prospective roommate and claimed her father would send me funds for move-in expenses. I later received a check for {$6500.00} made out to me, allegedly from XXXX XXXX. 
Before depositing the check, I went to a TD Bank branch and specifically asked an employee to confirm its legitimacy. The TD Bank representative assured me it was a valid check and pressured me to deposit it, stating I had to deposit it. Based on this assurance, I relied on TD Banks expertise and deposited the check. The funds appeared to clear in my account. 
Soon after, XXXX and others posing as her father and dealership staff pressured me into sending money for car delivery services. Believing the check was genuine and trusting TD Banks confirmation, I sent {$1000.00} via XXXX to the contact information provided to "" XXXX XXXX. '' The following day, TD Bank notified me the check was fraudulent. By then, the scammer had vanished and ceased all communication. When I returned to TD Bank for assistance, I was met with complete indifference. TD Bank refused to help, denied my claim, and placed the entire burden of their employees misrepresentation and negligence on me. 
This stands in stark contrast to my experience at XXXX Bank, where staff immediately identified the check as fake when I showed it to them. TD Bank not only failed to protect me, but they actively misled me into depositing a fraudulent check. Their failure directly caused me to lose {$1000.00}. 
I also filed a police report documenting the scam, underscoring the seriousness of this matter. 
TD Banks conduct demonstrates a complete failure of consumer protection and due diligence. I am requesting that TD Bank be held accountable and required to reimburse me the {$1000.00} lost as a result of their negligence, failure to properly identify a fraudulent instrument, and refusal to assist me after the fraud was discovered.",None,TD BANK US HOLDING COMPANY,NY,105XX,None,Consent provided,Web,10/02/25,Closed with explanation,Yes,N/A,16312824
10/10/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,FL,33012,None,None,Web,10/10/25,Closed with explanation,Yes,N/A,16510976
10/15/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,MI,48228,None,None,Web,10/15/25,Closed with explanation,Yes,N/A,16586317
