sentiment_label,sentiment_numeric,prob_neg,prob_neu,prob_pos
neutral,0,0.026971539482474327,0.9457889795303345,0.02723953127861023
neutral,0,0.02737133763730526,0.9456828832626343,0.026945868507027626
positive,1,0.029557403177022934,0.03446774184703827,0.9359748363494873
neutral,0,0.026848942041397095,0.9459154605865479,0.02723560854792595
negative,-1,0.4567345082759857,0.22885550558567047,0.3144099712371826
neutral,0,0.02684522047638893,0.9468240141868591,0.026330864056944847
neutral,0,0.026016147807240486,0.9475220441818237,0.026461804285645485
neutral,0,0.027535736560821533,0.9444034695625305,0.028060728684067726
positive,1,0.029552405700087547,0.03004574030637741,0.9404017925262451
neutral,0,0.05400647968053818,0.9164265990257263,0.02956693433225155
negative,-1,0.9354462623596191,0.03402412310242653,0.030529599636793137
positive,1,0.030714327469468117,0.11201880127191544,0.8572668433189392
positive,1,0.028713487088680267,0.028712056577205658,0.9425744414329529
neutral,0,0.027607031166553497,0.9445714950561523,0.027821511030197144
neutral,0,0.02629188634455204,0.9470782279968262,0.02662983164191246
neutral,0,0.029213763773441315,0.9419387578964233,0.028847385197877884
neutral,0,0.24127058684825897,0.7187953591346741,0.03993404656648636
neutral,0,0.02729540504515171,0.9448719620704651,0.02783261612057686
neutral,0,0.028696052730083466,0.9443629384040833,0.02694093808531761
neutral,0,0.028812315315008163,0.9441714286804199,0.027016185224056244
neutral,0,0.02689528465270996,0.9463270306587219,0.026777740567922592
positive,1,0.02837364375591278,0.029596207663416862,0.942030131816864
neutral,0,0.02818163111805916,0.9463699460029602,0.025448424741625786
negative,-1,0.9365378618240356,0.029661456122994423,0.0338006317615509
neutral,0,0.18940189480781555,0.7660896182060242,0.04450849071145058
positive,1,0.02906293235719204,0.03145211935043335,0.9394848942756653
neutral,0,0.028623294085264206,0.9451472163200378,0.026229457929730415
neutral,0,0.02928941324353218,0.9443179965019226,0.0263926200568676
neutral,0,0.02871854603290558,0.945122241973877,0.02615926042199135
neutral,0,0.03002999536693096,0.9438941478729248,0.02607588656246662
negative,-1,0.8907113075256348,0.08005239814519882,0.02923622354865074
neutral,0,0.02719067968428135,0.9423267841339111,0.030482495203614235
neutral,0,0.02774709090590477,0.9355079531669617,0.03674497827887535
positive,1,0.028555596247315407,0.027650007978081703,0.9437944293022156
positive,1,0.028911076486110687,0.029503291472792625,0.9415856003761292
neutral,0,0.02713783271610737,0.9460448622703552,0.026817284524440765
neutral,0,0.025744818150997162,0.9442857503890991,0.029969440773129463
negative,-1,0.9408774375915527,0.029956622049212456,0.02916601300239563
positive,1,0.10586588084697723,0.04036790877580643,0.8537662029266357
positive,1,0.0285883117467165,0.03156422823667526,0.9398474097251892
positive,1,0.028251448646187782,0.028191227465867996,0.9435573816299438
positive,1,0.028320476412773132,0.0291148629039526,0.9425646662712097
positive,1,0.028436502441763878,0.027987904846668243,0.9435756206512451
positive,1,0.028544286265969276,0.028149841353297234,0.9433059096336365
positive,1,0.028845174238085747,0.029680095613002777,0.9414747953414917
neutral,0,0.02732706069946289,0.946340024471283,0.02633291482925415
positive,1,0.02882363460958004,0.02812461368739605,0.9430516958236694
positive,1,0.028533974662423134,0.02849389985203743,0.9429720640182495
positive,1,0.028291376307606697,0.028108710423111916,0.9435999393463135
positive,1,0.02885044924914837,0.031034670770168304,0.9401148557662964
positive,1,0.02891826257109642,0.03145309165120125,0.9396286606788635
positive,1,0.028560301288962364,0.02816910110414028,0.9432705640792847
positive,1,0.028400558978319168,0.028321659192442894,0.9432777762413025
positive,1,0.02821866050362587,0.027693189680576324,0.9440881013870239
neutral,0,0.026990307494997978,0.946347713470459,0.02666197530925274
neutral,0,0.027072252705693245,0.945860743522644,0.027067013084888458
neutral,0,0.028806470334529877,0.9446651935577393,0.02652827650308609
positive,1,0.027750449255108833,0.03128666803240776,0.9409629106521606
positive,1,0.027812320739030838,0.030932746827602386,0.9412549138069153
positive,1,0.027681656181812286,0.031120581552386284,0.9411978125572205
positive,1,0.027774587273597717,0.03138769045472145,0.9408377408981323
positive,1,0.02835402637720108,0.029558870941400528,0.9420870542526245
positive,1,0.028387123718857765,0.028737353160977364,0.9428755044937134
neutral,0,0.026405248790979385,0.9426568150520325,0.03093786910176277
positive,1,0.0284647885710001,0.028630482032895088,0.9429046511650085
positive,1,0.02832368016242981,0.027908744290471077,0.9437675476074219
positive,1,0.03161077946424484,0.2712949514389038,0.6970942616462708
neutral,0,0.027499962598085403,0.9466816782951355,0.025818368420004845
neutral,0,0.026903150603175163,0.901805579662323,0.07129130512475967
neutral,0,0.02865065075457096,0.9417662620544434,0.029583150520920753
neutral,0,0.0273741427809,0.9445331692695618,0.028092658147215843
negative,-1,0.935183584690094,0.03610484302043915,0.028711581602692604
neutral,0,0.02895497903227806,0.9451726675033569,0.025872260332107544
neutral,0,0.05204736813902855,0.9195010662078857,0.028451552614569664
negative,-1,0.7744816541671753,0.1839761584997177,0.04154214635491371
negative,-1,0.46859651803970337,0.4818112850189209,0.04959223046898842
neutral,0,0.026731397956609726,0.9468815326690674,0.026387043297290802
neutral,0,0.027208346873521805,0.9453181028366089,0.02747359126806259
neutral,0,0.027082012966275215,0.9457472562789917,0.02717069908976555
negative,-1,0.934385359287262,0.030950944870710373,0.03466365113854408
neutral,0,0.027187500149011612,0.9453709125518799,0.027441583573818207
neutral,0,0.02794727496802807,0.9440100193023682,0.028042778372764587
negative,-1,0.9348589181900024,0.03385127708315849,0.031289733946323395
neutral,0,0.029657309874892235,0.9444711804389954,0.025871550664305687
neutral,0,0.1911744773387909,0.7734671235084534,0.03535834699869156
negative,-1,0.9399787187576294,0.030115798115730286,0.029905524104833603
positive,1,0.02964393049478531,0.028734929859638214,0.9416211247444153
neutral,0,0.05482405051589012,0.9110394716262817,0.034136541187763214
negative,-1,0.9264174103736877,0.03795010596513748,0.03563246876001358
neutral,0,0.02678682468831539,0.9467902779579163,0.026422839611768723
positive,1,0.02835828997194767,0.027797134593129158,0.9438445568084717
