date,advocacy
2025-09-28,51.0
2025-10-05,51.0
2025-10-12,52.0
2025-10-19,52.0
2025-10-26,52.0
2025-11-02,50.0
2025-11-09,47.0
2025-11-16,44.99999999999999
2025-11-23,44.99999999999999
2025-11-30,64.70588235294117
