date,awareness,regional_awareness,sentiment,volume_sentiment,engagement,advocacy,weekly_score,weekly_score_regional,weekly_score_volume,weekly_score_volume_regional
2025-09-28,20.56694093952876,86.31468094952115,34.69387755102041,54.607046070460704,21.0,50.76923076923077,31.757512314944982,39.97597981619403,36.73580444480506,44.95427194605411
2025-10-05,20.101510421325425,85.95492979416709,14.285714285714285,54.33604336043361,10.0,50.76923076923077,23.78911386906762,32.020791290672825,33.80169613774745,42.033373559352654
2025-10-12,20.140423098513082,86.34365776203545,17.82178217821782,58.91089108910891,9.0,51.53846153846153,24.625166703798108,32.900571036738405,34.89744393152088,43.17284826446117
2025-10-19,20.268015751936975,86.48802562888102,10.778443113772456,54.87804878048781,10.0,51.53846153846153,23.14623010104274,31.423731335660747,34.17113151772158,42.448632752339584
2025-10-26,20.59134236189643,87.8860890958234,23.48993288590604,59.48509485094851,19.0,51.53846153846153,28.654934196566003,37.06677753830687,37.65372468782662,46.06556802956749
2025-11-02,20.40335023830128,87.36812145291829,24.390243902439025,55.420054200542005,21.0,49.23076923076923,28.756090842877384,37.12668724470451,36.51354341740313,44.884139819230256
2025-11-09,20.591634257757157,87.21633656779676,12.977099236641221,54.607046070460704,20.0,47.692307692307686,25.31526029667652,33.64334808543147,35.72274700513139,44.05083479388634
2025-11-16,20.532383875495825,88.62220007694623,8.571428571428571,51.6260162601626,13.0,46.15384615384615,22.064414650192635,30.575641675373937,32.82806157237614,41.33928859755745
2025-11-23,20.01424379030838,89.57594352327898,10.714285714285714,51.6260162601626,5.0,46.15384615384615,20.470593914610063,29.165806381231388,30.698526551079286,39.39373901770061
2025-11-30,19.93349983141358,91.2714343682537,23.809523809523807,52.710027100271006,34,64.4927536231884,35.55894431603145,44.476186133136466,42.78407013871824,51.70131195582326
2025-12-07,19.752419152275888,91.90601008682323,11.538461538461538,50.81300813008131,39.0,66.92307692307693,34.30348940345359,43.32268827027201,44.12212605135853,53.14132491817695
