sentiment_label,sentiment_numeric,prob_neg,prob_neu,prob_pos
neutral,0,0.027034157887101173,0.9454634189605713,0.027502458542585373
neutral,0,0.02737133763730526,0.9456828832626343,0.026945868507027626
negative,-1,0.9359318017959595,0.035711634904146194,0.028356563299894333
neutral,0,0.026848942041397095,0.9459154605865479,0.02723560854792595
positive,1,0.029298996552824974,0.03060615435242653,0.9400948286056519
negative,-1,0.9295741319656372,0.03585290536284447,0.034572914242744446
negative,-1,0.4567345082759857,0.22885550558567047,0.3144099712371826
neutral,0,0.027769513428211212,0.9445112943649292,0.02771923504769802
neutral,0,0.026016147807240486,0.9475220441818237,0.026461804285645485
neutral,0,0.02684522047638893,0.9468240141868591,0.026330864056944847
neutral,0,0.027535736560821533,0.9444034695625305,0.028060728684067726
neutral,0,0.05400647968053818,0.9164265990257263,0.02956693433225155
neutral,0,0.028081847354769707,0.9435939788818359,0.02832425944507122
neutral,0,0.027721412479877472,0.9443603157997131,0.027918336912989616
neutral,0,0.0283398125320673,0.945094108581543,0.026566073298454285
negative,-1,0.9354462623596191,0.03402412310242653,0.030529599636793137
neutral,0,0.0512179434299469,0.9159640669822693,0.032817866653203964
neutral,0,0.0897703692317009,0.8747028708457947,0.035526711493730545
positive,1,0.028528202325105667,0.028214462101459503,0.9432573318481445
neutral,0,0.027607031166553497,0.9445714950561523,0.027821511030197144
positive,1,0.028713487088680267,0.028712056577205658,0.9425744414329529
neutral,0,0.04217136651277542,0.829003095626831,0.1288255751132965
neutral,0,0.028447555378079414,0.9419750571250916,0.029577475041151047
neutral,0,0.02818163111805916,0.9463699460029602,0.025448424741625786
neutral,0,0.0274223443120718,0.9454865455627441,0.027091121301054955
neutral,0,0.027157345786690712,0.9459554553031921,0.02688715234398842
neutral,0,0.029213763773441315,0.9419387578964233,0.028847385197877884
neutral,0,0.24127058684825897,0.7187953591346741,0.03993404656648636
neutral,0,0.06995266675949097,0.8997279405593872,0.030319400131702423
negative,-1,0.9385892748832703,0.031225677579641342,0.03018507920205593
neutral,0,0.02729540504515171,0.9448719620704651,0.02783261612057686
neutral,0,0.02681964822113514,0.9454319477081299,0.027748381718993187
positive,1,0.029273180291056633,0.030031319707632065,0.9406955242156982
neutral,0,0.028812315315008163,0.9441714286804199,0.027016185224056244
negative,-1,0.9379192590713501,0.032661013305187225,0.029419800266623497
positive,1,0.02837364375591278,0.029596207663416862,0.942030131816864
neutral,0,0.02712087705731392,0.9465160369873047,0.026363078504800797
neutral,0,0.026713337749242783,0.9465499520301819,0.02673661708831787
positive,1,0.02855074033141136,0.028001805767416954,0.9434474110603333
neutral,0,0.027776231989264488,0.9449799656867981,0.027243778109550476
positive,1,0.02906293235719204,0.03145211935043335,0.9394848942756653
neutral,0,0.02665177546441555,0.9462401270866394,0.027108101174235344
neutral,0,0.028623294085264206,0.9451472163200378,0.026229457929730415
neutral,0,0.02871854603290558,0.945122241973877,0.02615926042199135
neutral,0,0.03002999536693096,0.9438941478729248,0.02607588656246662
neutral,0,0.04511840641498566,0.9270986318588257,0.027783028781414032
neutral,0,0.02928941324353218,0.9443179965019226,0.0263926200568676
neutral,0,0.02774709090590477,0.9355079531669617,0.03674497827887535
neutral,0,0.02719067968428135,0.9423267841339111,0.030482495203614235
negative,-1,0.937015175819397,0.03170568495988846,0.03127921000123024
neutral,0,0.02823817916214466,0.9423096179962158,0.029452187940478325
neutral,0,0.11306118220090866,0.8356189131736755,0.051319919526576996
positive,1,0.028202828019857407,0.029603755101561546,0.9421933889389038
negative,-1,0.9394279718399048,0.03057589940726757,0.029996110126376152
neutral,0,0.028806470334529877,0.9446651935577393,0.02652827650308609
neutral,0,0.027229271829128265,0.9461414217948914,0.02662927843630314
neutral,0,0.02726563811302185,0.9461535811424255,0.026580816134810448
neutral,0,0.027013467624783516,0.9463967084884644,0.02658976800739765
neutral,0,0.026903150603175163,0.901805579662323,0.07129131257534027
neutral,0,0.027499962598085403,0.9466816782951355,0.02581837959587574
positive,1,0.028640232980251312,0.029684007167816162,0.9416757822036743
positive,1,0.028461594134569168,0.028109995648264885,0.9434283971786499
neutral,0,0.027474956586956978,0.9449905157089233,0.027534591034054756
neutral,0,0.02865065075457096,0.9417662620544434,0.029583150520920753
neutral,0,0.027324683964252472,0.9457917213439941,0.026883505284786224
positive,1,0.031581610441207886,0.053060028702020645,0.9153584241867065
neutral,0,0.026655640453100204,0.9467874765396118,0.02655685506761074
neutral,0,0.02645307406783104,0.9465744495391846,0.02697243168950081
