ts_event,total_tweets,positive_tweets,neutral_tweets,negative_tweets,sentiment_score,day_time,date,score
2025-09-28 00:00:00+00:00,49,17,21,11,0.3469387755102041,2025-09-28 00:00:00+00:00,2025-09-28,34.69387755102041
2025-10-05 00:00:00+00:00,112,16,80,16,0.14285714285714285,2025-10-05 00:00:00+00:00,2025-10-05,14.285714285714285
2025-10-12 00:00:00+00:00,202,36,115,51,0.1782178217821782,2025-10-12 00:00:00+00:00,2025-10-12,17.82178217821782
2025-10-19 00:00:00+00:00,167,18,108,41,0.10778443113772455,2025-10-19 00:00:00+00:00,2025-10-19,10.778443113772456
2025-10-26 00:00:00+00:00,149,35,71,43,0.2348993288590604,2025-10-26 00:00:00+00:00,2025-10-26,23.48993288590604
