Category: All categories

Region,TD Bank: (8/31/25 - 9/28/25),Chase Bank: (8/31/25 - 9/28/25),Capital One: (8/31/25 - 9/28/25),Citibank: (8/31/25 - 9/28/25),Bank of America: (8/31/25 - 9/28/25)
New Hampshire,31%,20%,20%,7%,22%
New Jersey,21%,32%,16%,8%,23%
Maine,26%,23%,22%,8%,21%
Vermont,23%,28%,23%,12%,14%
Delaware,15%,28%,27%,11%,19%
Massachusetts,13%,24%,20%,7%,36%
Connecticut,13%,30%,18%,10%,29%
New York,9%,43%,18%,13%,17%
Rhode Island,9%,26%,20%,8%,37%
Pennsylvania,12%,30%,29%,11%,18%
Florida,7%,36%,18%,9%,30%
South Carolina,10%,27%,21%,9%,33%
District of Columbia,4%,28%,31%,13%,24%
Maryland,3%,23%,33%,9%,32%
Virginia,2%,25%,39%,9%,25%
North Carolina,3%,26%,27%,11%,33%
Georgia,1%,32%,26%,8%,33%
Nevada,<1%,38%,21%,11%,30%
West Virginia,1%,45%,33%,9%,12%
Michigan,<1%,48%,23%,9%,20%
New Mexico,1%,30%,27%,13%,29%
Hawaii,1%,37%,24%,20%,18%
Texas,<1%,40%,24%,10%,26%
Tennessee,1%,33%,28%,10%,28%
Washington,<1%,41%,17%,10%,32%
Montana,1%,30%,29%,18%,22%
Colorado,<1%,51%,27%,10%,12%
California,<1%,42%,16%,13%,29%
Iowa,1%,34%,33%,14%,18%
Idaho,1%,39%,28%,16%,16%
Illinois,<1%,52%,19%,12%,17%
Louisiana,<1%,41%,47%,5%,7%
Oklahoma,1%,38%,27%,11%,23%
Arkansas,1%,29%,33%,12%,25%
Ohio,<1%,54%,26%,9%,11%
Arizona,<1%,47%,17%,9%,27%
Kentucky,1%,46%,28%,12%,13%
Indiana,<1%,55%,25%,9%,11%
Alabama,1%,32%,37%,14%,16%
Mississippi,1%,32%,40%,11%,16%
Nebraska,<1%,37%,36%,14%,13%
Missouri,<1%,29%,30%,11%,30%
Utah,<1%,48%,24%,15%,13%
Wisconsin,<1%,47%,30%,13%,10%
Minnesota,<1%,33%,38%,14%,15%
Oregon,<1%,43%,18%,12%,27%
Kansas,<1%,30%,29%,12%,29%
Alaska,,23%,19%,10%,48%
South Dakota,,34%,38%,16%,12%
North Dakota,,32%,38%,14%,16%
Wyoming,,40%,36%,11%,13%
